"","x"
"165","salah bukti tni mau di bunuh massal dgn alasan pengawalan situasi baru"
"166","jokowi mau new normal pengamat rakyat maunya new presiden"
"167","pengamat smc memprediksi rezim jokowi akan jatuh bulan juni"
"168","selamat pagi indonesia yg makin kacau  tni yg perang tni yg gugur  tni yg jaga kedaulatan negara dan perbatasan t "
"169","rakyat senang"
"170","pembisiknya salah sebut ke pleset tadinya abnormal kesebutnya new normal kalau ditanya apa itu new normal jan "
"171","pembisiknya salah sebut ke pleset tadinya abnormal kesebutnya new normal kalau ditanya apa itu new norm "
"172","jika suatu negara dipimpin oleh pemimpin yg tidak adil tidak bisa meletakan sesuatu pada tempat yg seharusnya ala "
"173","jangan salahkan menterinya yang harus di kocok ulang itu ganti presiden new president  "
"174","duuh kalaupun cara berpikir anda dibawah standar menurut rocky gerung changan di ambyar begi "
"175","pemimpin yg selalu bermimpi mereka amatiran hasilnya candaan ngeprangk sana sini dan cari simpati den "
"176","turunkan jokowi  ud selayaknya beliau turun rkyt tw sp dblkg ni smw ingt lh pak jk anda tdk mundur musibah lbh bsar "
"177","nggak bisa dbyangkn apa yg trjdi apbila slma hri full tagar berta "
"178","hmm boong aje dipercaya dah kehabisan hoax utk di produksi cuma utk pengalihan issue dan biar dibilan "
"179"," satu bukti kegagalan jkw adalah tragedi ratusan kegagalan jkw adalah statistik   dan    sampai kapan kita menikm "
"180","saya rasa pak jokowi lebih cocok jadi tukang mebel aja ga cocok jadi presiden karna sekelas presiden di negri demok "
"181","sudah saatnya mundur karena negara makin hancur sebelum dimundurkan rakyat"
"182","saleh dpr pernyataan mahfud md mengindikasikan pemerintah kalah lawan covid      "
"183","kedisiplinan jangan melemah dong pliisss kek medan magnetik bumi yang juga tengah melemah bisa bahaya           "
"184","yang nggak paham itu sedang menikmati menjilat   tak ada satupun rencana jokowi itu yang tepat "
"185","klo memang cendana bnyk kejahatan usut bongkar n penjarakan p dhe sdh di periode ke kmrn kmn aje  "
"186","presiden sadis berskala besar"
"187","ga sejalan tangkap        buntut surat terbuka minta jokowi mundur r "
"188","kedisiplinan jangan melemah dong pliisss kek medan magnetik bumi yang juga tengah melemah bisa bahaya       "
"189","yang nggak paham itu sedang menikmati menjilat   tak ada satupun rencana jokowi itu yan "
"190","tetap tegar negara sudah di titik nadir kehancuran  jokowi sudah siap untuk lengse "
"191","satu lagi kebijakan mencla mencle  tetap rakyat yg jadi korbannya"
"192","kadang gua bingung antara mengamalkan ajaran taat pemimpin ato bego sih"
"193","miris lihat kepemimpinan  yg tdk konsisten"
"194","kronologi polisi injak leher george hingga mati hanya karena berkulit hitam      "
"195","presiden hasil pencitraan waktu itu melanggar peraturan karna tidak menghidupkan lampu depan sekarang masuk mall masker dibu "
"196","kalau tidak mau dijatuhkan  karena  belum lagi dia kan"
